id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
weth,weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,2616.03,7735176027,24,7735176027,603779432,2723.81,2610.35,-64.45625701312383,-2.40465,38095442.0,0.49493,2960773.729036395,2962072.628680232,,4799.89,-45.61973,2021-11-09T00:00:00.000Z,82.1,3079.15539,2018-12-15T00:00:00.000Z,,2025-02-11T19:08:02.699Z
bitget-token,bgb,Bitget Token,https://coin-images.coingecko.com/coins/images/11610/large/Bitget_logo.png?1736925727,6.35,7610763884,26,7610763884,214566695,6.5,6.34,-0.13826282445856197,-2.13218,-164595264.2159443,-2.11688,1199999994.2,1199999994.2,2000000000.0,8.45,-24.94367,2024-12-27T11:41:24.992Z,0.0142795,44316.83632,2020-06-25T04:17:05.895Z,,2025-02-11T19:08:02.874Z
polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,4.82,7332515284,27,7332515284,250490413,5.19,4.8,-0.0649520947662694,-1.32879,-123468496.99374676,-1.65597,1522267060.0,1522267060.0,,54.98,-91.25202,2021-11-04T14:10:09.301Z,2.7,78.30568,2020-08-20T05:48:11.359Z,,2025-02-11T19:08:04.965Z
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,329.93,6521974844,28,6521982039,150537170,343.72,327.86,-1.9798512128526795,-0.59651,-63383133.137467384,-0.96249,19827996.77165078,19828018.64665078,21000000.0,3785.82,-91.30973,2017-12-20T00:00:00.000Z,76.93,327.6322,2018-12-16T00:00:00.000Z,,2025-02-11T19:08:06.127Z
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,1.001,6033434482,29,6033434482,140217889,1.002,0.997571,0.00085333,0.08534,-16469428.512275696,-0.27223,6043481750.724592,6043481750.724592,,1.032,-3.26876,2023-12-20T15:38:34.596Z,0.929486,7.40837,2024-10-04T07:57:15.809Z,,2025-02-11T19:08:07.290Z
mantra-dao,om,MANTRA,https://coin-images.coingecko.com/coins/images/12151/large/OM_Token.png?1696511991,5.92,5753541275,30,10699865031,215789516,6.12,5.9,-0.12277338854085684,-2.03254,-129526811.14751053,-2.20169,971913302.03,1807467897.67,,6.41,-7.67232,2025-02-07T14:11:08.824Z,0.01726188,34185.01236,2023-10-12T17:25:09.068Z,,2025-02-11T19:08:03.078Z
uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,9.38,5629650620,31,9375202843,324919223,10.01,9.36,-0.08070493633569954,-0.85321,-45556528.32546711,-0.80273,600483073.71,1000000000.0,1000000000.0,44.92,-79.14107,2021-05-03T05:25:04.822Z,1.03,809.50229,2020-09-17T01:20:38.214Z,,2025-02-11T19:08:08.041Z
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,2768.7,5273634296,32,5273634296,11311207,2881.07,2767.06,-72.61422555097079,-2.55565,-99211765.38388348,-1.84654,1901714.988748792,1901714.988748792,,4311.81,-35.68469,2024-12-06T20:32:25.758Z,2231.18,24.29119,2024-01-08T03:35:28.624Z,,2025-02-11T19:08:09.231Z
ondo-finance,ondo,Ondo,https://coin-images.coingecko.com/coins/images/26580/large/ONDO.png?1696525656,1.34,4233030675,33,13399451066,411843294,1.44,1.32,0.00087105,0.06505,3003453.0,0.071,3159107529.0,10000000000.0,10000000000.0,2.14,-37.41966,2024-12-16T00:36:00.777Z,0.082171,1529.91488,2024-01-18T12:14:30.524Z,,2025-02-11T19:08:04.399Z
monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,224.09,4143961456,34,4143961456,66977724,227.25,219.27,0.87359,0.39137,42233629.0,1.02965,18446744.07370955,18446744.07370955,,542.33,-58.57226,2018-01-09T00:00:00.000Z,0.216177,103830.37805,2015-01-14T00:00:00.000Z,,2025-02-11T19:08:03.566Z
pepe,pepe,Pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,9.61e-06,4044868095,35,4044868095,912856706,1.048e-05,9.51e-06,-1.11467567806e-07,-1.14676,-41242222.221604824,-1.00933,420690000000000.0,420690000000000.0,420690000000000.0,2.803e-05,-65.72114,2024-12-09T16:30:35.828Z,5.5142e-08,17323.51281,2023-04-18T02:14:41.591Z,,2025-02-11T19:08:04.978Z
whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,27.45,3955984968,36,9098156916,18848723,27.95,27.37,-0.22291586008013908,-0.80557,-28768992.92763853,-0.72198,144118517.10815412,331450421.0,400000000.0,29.08,-5.64694,2025-01-23T14:52:15.951Z,3.06,796.05556,2023-02-13T19:01:21.899Z,,2025-02-11T19:08:08.307Z
near,near,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,3.19,3771191767,37,3933733944,205474908,3.38,3.18,-0.04981731896411024,-1.53739,-54689464.32214546,-1.42946,1183777927.0,1234799952.0,,20.44,-84.41399,2022-01-16T22:09:45.873Z,0.526762,504.72963,2020-11-04T16:09:15.137Z,,2025-02-11T19:08:03.698Z
aave,aave,Aave,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,244.34,3678050714,38,3905685307,354419245,261.34,243.61,-11.124543179291521,-4.35466,-168191405.82774878,-4.37288,15067473.897374354,16000000.0,16000000.0,661.69,-63.13903,2021-05-18T21:19:59.514Z,26.02,837.26315,2020-11-05T09:20:11.928Z,,2025-02-11T19:08:01.221Z
dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,0.999872,3486548071,39,3486548071,196662612,1.001,0.999143,0.00015584,0.01559,10222407.0,0.29406,3486598309.323707,3486360592.531626,,1.22,-17.98429,2020-03-13T03:02:50.373Z,0.88196,13.35148,2023-03-11T07:50:50.514Z,,2025-02-11T19:08:06.822Z
mantle,mnt,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/Mantle-Logo-mark.png?1739213200,1.018,3422125970,40,6325473608,112479177,1.069,1.017,-0.01089685629848014,-1.05918,-48424188.87084198,-1.39529,3364694382.83684,6219316794.99,6219316794.99,1.54,-33.89369,2024-04-08T09:45:25.482Z,0.307978,230.27947,2023-10-18T02:50:46.942Z,,2025-02-11T19:08:02.776Z
internet-computer,icp,Internet Computer,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,7.04,3383399440,42,3729437697,91381780,7.42,6.97,0.00157337,0.02235,-1071444.2145557404,-0.03166,480548416.8213841,529696659.3647755,,700.65,-98.99484,2021-05-10T16:05:53.653Z,2.87,145.81478,2023-09-22T00:29:57.369Z,,2025-02-11T19:08:09.034Z
aptos,apt,Aptos,https://coin-images.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,5.88,3382931642,41,6705005937,267513449,6.37,5.88,-0.35960535253094505,-5.75971,-205522518.7138238,-5.72733,574979469.3460873,1139615328.882576,,19.92,-70.44963,2023-01-26T14:25:17.390Z,3.08,91.13449,2022-12-29T21:35:14.796Z,,2025-02-11T19:08:01.764Z
susds,susds,sUSDS,https://coin-images.coingecko.com/coins/images/52721/large/sUSDS_Coin.png?1734086971,1.037,3362842143,43,3362390418,468718,1.042,1.031,0.00011891,0.01147,142196602.0,4.41516,3245588636.374674,3245152661.187978,,1.088,-4.71428,2025-02-03T02:31:35.208Z,0.961716,7.7893,2025-01-04T01:21:08.460Z,,2025-02-11T19:08:06.465Z
bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,407.2,3345136534,44,8550929202,233190402,434.38,382.9,16.05,4.10296,125478806.0,3.89727,8215232.0,21000000.0,21000000.0,757.6,-46.28248,2024-03-07T18:45:36.466Z,30.83,1220.03575,2023-05-14T08:57:53.732Z,,2025-02-11T19:08:04.941Z
official-trump,trump,Official Trump,https://coin-images.coingecko.com/coins/images/53746/large/trump.png?1737171561,15.43,3084304580,45,15421523291,823045266,16.74,15.4,-0.7586976175654456,-4.68757,-152754429.88586378,-4.71893,199999994.9,1000000000.0,1000000000.0,73.43,-78.99086,2025-01-19T11:50:34.806Z,4.29,259.55048,2025-01-18T03:40:29.231Z,,2025-02-11T19:08:06.343Z
ethereum-classic,etc,Ethereum Classic,https://coin-images.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,20.12,3024799055,46,3024799055,102038835,21.29,20.07,-0.5692790829086718,-2.75196,-92678548.66584444,-2.97287,150711847.5341313,150711847.5341313,210700000.0,167.09,-87.98774,2021-05-06T18:34:22.133Z,0.615038,3163.33118,2016-07-25T00:00:00.000Z,"{'times': 43.70444700174989, 'currency': 'usd', 'percentage': 4370.444700174989}",2025-02-11T19:08:07.812Z
okb,okb,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,50.31,3013288887,47,11850144516,12560253,51.57,48.38,1.76,3.63428,105034899.0,3.61161,60000000.0,235957685.3,300000000.0,73.8,-31.96094,2024-03-14T00:30:12.502Z,0.580608,8548.7102,2019-01-14T00:00:00.000Z,,2025-02-11T19:08:04.275Z
gatechain-token,gt,Gate,https://coin-images.coingecko.com/coins/images/8183/large/200X200.png?1735246724,21.71,2726699877,48,6501664241,15628110,22.82,21.37,0.28899,1.34889,34720491.0,1.28978,125815473.19980882,300000000.0,,25.94,-16.4046,2025-01-25T03:07:37.823Z,0.25754,8319.71948,2020-03-13T02:18:02.481Z,,2025-02-11T19:08:07.657Z
vechain,vet,VeChain,https://coin-images.coingecko.com/coins/images/1167/large/VET_Token_Icon.png?1710013505,0.03318133,2676937367,49,2842210937,53346313,0.03564014,0.03305471,-0.000528496937830157,-1.56778,-57100304.1816535,-2.0885,80985041177.0,85985041177.0,86712634466.0,0.280991,-88.23241,2021-04-19T01:08:21.675Z,0.00191713,1624.75713,2020-03-13T02:29:59.652Z,"{'times': 3.437908553548799, 'currency': 'eth', 'percentage': 343.7908553548799}",2025-02-11T19:08:08.269Z
polygon-ecosystem-token,pol,POL (ex-MATIC),https://coin-images.coingecko.com/coins/images/32440/large/polygon.png?1698233684,0.307479,2628724420,50,3182202257,87826858,0.32831,0.306205,-0.002238439079248755,-0.72274,-21359872.797453403,-0.80601,8559664122.98893,10361901110.26989,,1.29,-76.13998,2024-03-13T18:55:06.692Z,0.269234,14.106,2025-02-03T02:11:32.978Z,,2025-02-11T19:08:05.293Z
crypto-com-chain,cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.092308,2520638527,51,2770319465,16704273,0.098612,0.092101,-0.001000950744924248,-1.07272,-27396654.29405403,-1.07521,27296186144.37484,30000000000.0,,0.965407,-90.45201,2021-11-24T15:53:54.855Z,0.0121196,660.56121,2019-02-08T00:00:00.000Z,,2025-02-11T19:08:05.631Z
kaspa,kas,Kaspa,https://coin-images.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,0.096522,2476526018,52,2476546436,115274634,0.109529,0.091155,0.00472141,5.14313,119054077.0,5.05007,25685695329.08577,25686027338.12608,28704026601.0,0.207411,-53.52191,2024-08-01T00:40:47.164Z,0.00017105,56258.3297,2022-05-26T14:42:59.316Z,,2025-02-11T19:08:09.177Z
algorand,algo,Algorand,https://coin-images.coingecko.com/coins/images/4380/large/download.png?1696504978,0.288481,2427095066,53,2427095066,120635495,0.312511,0.287248,-0.000411565702746919,-0.14246,-6038129.1530714035,-0.24816,8425763602.648732,8425763602.648732,10000000000.0,3.56,-91.92641,2019-06-20T14:51:19.480Z,0.087513,228.53556,2023-09-11T19:42:08.247Z,"{'times': -0.8797997360992195, 'currency': 'usd', 'percentage': -87.97997360992196}",2025-02-11T19:08:05.482Z
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,https://coin-images.coingecko.com/coins/images/40143/large/cbbtc.webp?1726136727,95546.0,2411030177,54,2411030177,251498749,98632.0,95429.0,-1925.0930005209375,-1.97504,14601066.0,0.60928,25243.15233913,25243.15233913,,108953.0,-12.33622,2025-01-20T09:20:53.854Z,57439.0,66.28522,2024-09-12T14:07:41.775Z,,2025-02-11T19:08:04.918Z
render-token,render,Render,https://coin-images.coingecko.com/coins/images/11636/large/rndr.png?1696511529,4.44,2301292073,55,2366902236,104446599,4.76,4.43,-0.05806306885136792,-1.28995,-26122768.206858158,-1.12239,517716590.0562826,532476763.3362826,,13.53,-67.21625,2024-03-17T16:30:24.636Z,0.03665669,12004.69216,2020-06-16T13:22:25.900Z,,2025-02-11T19:08:05.353Z
tokenize-xchange,tkx,Tokenize Xchange,https://coin-images.coingecko.com/coins/images/4984/large/TKX_-_Logo_-_RGB-15.png?1696505519,28.01,2236502360,56,2795767771,20189804,28.49,27.9,0.072574,0.25978,686284.0,0.0307,79995999.05112354,100000000.0,100000000.0,50.43,-44.50917,2025-01-03T19:12:43.038Z,0.111255,25053.78595,2019-04-28T00:00:00.000Z,"{'times': 95.41578460166214, 'currency': 'usd', 'percentage': 9541.578460166213}",2025-02-11T19:08:06.966Z
